Point134: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point135: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point136: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point137: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point138: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point139: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point140: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point141: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point142: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point143: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point144: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point145: deltaX:[ 0.189944 , -0.0759775 ] cosTheta:[0.0157279] ui:[ 0.192308 , -0.0769231 ] sigma:[0.555802]
Point146: deltaX:[ 0.278394 , -0.119312 ] cosTheta:[0.0107262] ui:[ 0.28 , -0.12 ] sigma:[0.586363]
Point147: deltaX:[ 0.375 , -0.125 ] cosTheta:[7.02167e-17] ui:[ 0.375 , -0.125 ] sigma:[0.611765]
Point148: deltaX:[ 0.570962 , -0.333061 ] cosTheta:[0.00404052] ui:[ 0.571429 , -0.333333 ] sigma:[0.641074]
Point149: deltaX:[ 0.818867 , -0.436729 ] cosTheta:[0.0187314] ui:[ 0.833333 , -0.444444 ] sigma:[0.686444]
Point150: deltaX:[ 1.82323 , -1.02557 ] cosTheta:[0.00994392] ui:[ 1 , -0.5625 ] sigma:[0.757274]
Point151: deltaX:[ 2.61775 , 1.57065 ] cosTheta:[0.00287083] ui:[ 1.34615 , 0.807692 ] sigma:[0.780835]
Point152: deltaX:[ 0.863834 , 0.617024 ] cosTheta:[0.0122089] ui:[ 0.777778 , 0.555556 ] sigma:[0.729398]
Point153: deltaX:[ 0.522754 , 0.427708 ] cosTheta:[0.00635213] ui:[ 0.52381 , 0.428571 ] sigma:[0.666252]
Point154: deltaX:[ 0.323514 , 0.202196 ] cosTheta:[0.0244548] ui:[ 0.333333 , 0.208333 ] sigma:[0.604759]
Point155: deltaX:[ 0.189944 , 0.0759775 ] cosTheta:[0.0157279] ui:[ 0.192308 , 0.0769231 ] sigma:[0.555802]
Point156: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point157: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point158: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point159: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point160: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point161: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point162: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point163: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point164: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point165: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point166: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point167: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point168: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point169: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point170: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point171: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point172: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point173: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point174: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point175: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
